,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,year,genre,Adventure,Music,Western,Drama,Mystery,Romance,Comedy,Family,Musical,War,\N,Crime,Action,History,Thriller,Animation,Documentary,Fantasy,Biography,Horror,Sport,Film-Noir,Sci-Fi,News,Talk-Show,Adult,Reality-TV,Short,Game-Show,total,new_title
190,60094,tt0115435,movie,16060,16060,0,1995,\N,86,"Comedy,Drama",1995,"['Comedy', 'Drama']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16060
256,68535,tt0137472,movie,Drama Urbano,Drama Urbano,0,1998,\N,\N,Crime,1998,['Crime'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,drama urbano
379,71832,tt0150796,movie,Guerra e Liberdade - Castro Alves em São Paulo,Guerra e Liberdade - Castro Alves em São Paulo,0,1998,\N,\N,"Drama,Romance",1998,"['Drama', 'Romance']",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,guerra e liberdade  castro alves em sao paulo
730,83462,tt0189441,movie,Contos de Lygia,Contos de Lygia,0,1998,\N,125,Drama,1998,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,contos de lygia
752,83583,tt0189856,movie,Olé: Um Movie Cabra da Peste,Olé: Um Movie Cabra da Peste,0,2000,\N,94,Comedy,2000,['Comedy'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ole um movie cabra da peste
1167,90455,tt0212842,movie,Castro Alves - Retrato Falado do Poeta,Castro Alves - Retrato Falado do Poeta,0,1999,\N,75,Drama,1999,['Drama'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,castro alves  retrato falado do poeta
1169,90514,tt0213057,movie,Lendas Amazônicas,Lendas Amazônicas,0,1998,\N,\N,"Documentary,Mystery",1998,"['Documentary', 'Mystery']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,lendas amazonicas
1174,91400,tt0216729,movie,Odo Ya! Vida com Aids,Odo Ya! Vida com Aids,0,1997,\N,58,Documentary,1997,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odo ya! vida com aids
1180,92604,tt0221667,movie,Two Billion Hearts,Two Billion Hearts,0,1995,\N,106,"Documentary,Sport",1995,"['Documentary', 'Sport']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,two billion hearts
1183,93279,tt0225399,movie,Cine Mambembe - O Cinema Descobre o Brasil,Cine Mambembe - O Cinema Descobre o Brasil,0,1999,\N,56,Documentary,1999,['Documentary'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cine mambembe  o cinema descobre o brasil
